CTYNAME,STNAME,POPESTIMATE2019,Per 100000 People
Canyon County,Idaho,229849,2.29849
Cape Girardeau County,Missouri,78871,0.78871
Cape May County,New Jersey,92039,0.92039
Carbon County,Montana,10725,0.10725
Carbon County,Pennsylvania,64182,0.64182
Carbon County,Utah,20463,0.20463
Carbon County,Wyoming,14800,0.148
Caribou County,Idaho,7155,0.07155
Carlisle County,Kentucky,4760,0.0476
Carlton County,Minnesota,35871,0.35871
Caroline County,Virginia,30725,0.30725
Caroline County,Maryland,33406,0.33406
Carroll County,Ohio,26914,0.26914
Carroll County,Georgia,119992,1.19992
Carroll County,Iowa,20165,0.20165
Carroll County,Illinois,14305,0.14305
Carroll County,Indiana,20257,0.20257
Carroll County,Kentucky,10631,0.10631
Carroll County,Maryland,168447,1.68447
Carroll County,Missouri,8679,0.08679
Carroll County,Mississippi,9947,0.09947
Carroll County,New Hampshire,48910,0.4891
Carroll County,Tennessee,27767,0.27767
Carroll County,Virginia,29791,0.29791
Carroll County,Arkansas,28380,0.2838
Carson City,Nevada,55916,0.55916
Carson County,Texas,5926,0.05926
Carter County,Kentucky,26797,0.26797
Carter County,Missouri,5982,0.05982
Carter County,Montana,1252,0.01252
Carter County,Oklahoma,48111,0.48111
Carter County,Tennessee,56391,0.56391
Carteret County,North Carolina,69473,0.69473
Carver County,Minnesota,105089,1.05089
Cascade County,Montana,81366,0.81366
Casey County,Kentucky,16159,0.16159
Cass County,Illinois,12147,0.12147
Cass County,Indiana,37689,0.37689
Cass County,Michigan,51787,0.51787
Cass County,Minnesota,29779,0.29779
Cass County,Missouri,105780,1.0578
Cass County,North Dakota,181923,1.81923
Cass County,Nebraska,26248,0.26248
Cass County,Texas,30026,0.30026
Cass County,Iowa,12836,0.12836
Cassia County,Idaho,24030,0.2403
Castro County,Texas,7530,0.0753
Caswell County,North Carolina,22604,0.22604
Catahoula Parish,Louisiana,9494,0.09494
Catawba County,North Carolina,159551,1.59551
Catoosa County,Georgia,67580,0.6758
Catron County,New Mexico,3527,0.03527
Cattaraugus County,New York,76117,0.76117
Cavalier County,North Dakota,3762,0.03762
Cayuga County,New York,76576,0.76576
Cecil County,Maryland,102855,1.02855
Cedar County,Iowa,18627,0.18627
Cedar County,Missouri,14349,0.14349
Cedar County,Nebraska,8402,0.08402
Centre County,Pennsylvania,162385,1.62385
Cerro Gordo County,Iowa,42450,0.4245
Chaffee County,Colorado,20356,0.20356
Chambers County,Alabama,33254,0.33254
Chambers County,Texas,43837,0.43837
Champaign County,Illinois,209689,2.09689
Champaign County,Ohio,38885,0.38885
Chariton County,Missouri,7426,0.07426
Charles City County,Virginia,6963,0.06963
Charles County,Maryland,163257,1.63257
Charles Mix County,South Dakota,9292,0.09292
Charleston County,South Carolina,411406,4.11406
Charlevoix County,Michigan,26143,0.26143
Charlotte County,Florida,188910,1.8891
Charlotte County,Virginia,11880,0.1188
Charlottesville city,Virginia,47266,0.47266
Charlton County,Georgia,13392,0.13392
Chase County,Kansas,2648,0.02648
Chase County,Nebraska,3924,0.03924
Chatham County,Georgia,289430,2.8943
Chatham County,North Carolina,74470,0.7447
Chattahoochee County,Georgia,10907,0.10907
Chattooga County,Georgia,24789,0.24789
Chautauqua County,New York,126903,1.26903
Chautauqua County,Kansas,3250,0.0325
Chaves County,New Mexico,64615,0.64615
Cheatham County,Tennessee,40667,0.40667
Cheboygan County,Michigan,25276,0.25276
Chelan County,Washington,77200,0.772
Chemung County,New York,83456,0.83456
Chenango County,New York,47207,0.47207
Cherokee County,Alabama,26196,0.26196
Cherokee County,Georgia,258773,2.58773
Cherokee County,Iowa,11235,0.11235
Cherokee County,Kansas,19939,0.19939
Cherokee County,North Carolina,28612,0.28612
Cherokee County,Oklahoma,48657,0.48657
Cherokee County,South Carolina,57300,0.573
Cherokee County,Texas,52646,0.52646
Cherry County,Nebraska,5689,0.05689
Chesapeake city,Virginia,244835,2.44835
Cheshire County,New Hampshire,76085,0.76085
Chester County,Pennsylvania,524989,5.24989
Chester County,South Carolina,32244,0.32244
Chester County,Tennessee,17297,0.17297
Chesterfield County,South Carolina,45650,0.4565
Chesterfield County,Virginia,352802,3.52802
Cheyenne County,Nebraska,8910,0.0891
Cheyenne County,Kansas,2657,0.02657
Cheyenne County,Colorado,1831,0.01831
Chickasaw County,Mississippi,17103,0.17103
Chickasaw County,Iowa,11933,0.11933
Chicot County,Arkansas,10118,0.10118
Childress County,Texas,7306,0.07306
Chilton County,Alabama,44428,0.44428
Chippewa County,Michigan,37349,0.37349
Chippewa County,Minnesota,11800,0.118
Chippewa County,Wisconsin,64658,0.64658
Chisago County,Minnesota,56579,0.56579
Chittenden County,Vermont,163774,1.63774
Choctaw County,Alabama,12589,0.12589
Choctaw County,Mississippi,8210,0.0821
Choctaw County,Oklahoma,14672,0.14672
Chouteau County,Montana,5635,0.05635
Chowan County,North Carolina,13943,0.13943
Christian County,Illinois,32304,0.32304
Christian County,Kentucky,70461,0.70461
Christian County,Missouri,88595,0.88595
Churchill County,Nevada,24909,0.24909
Cibola County,New Mexico,26675,0.26675
Cimarron County,Oklahoma,2137,0.02137
Citrus County,Florida,149657,1.49657
City and Borough of Juneau,Alaska,31974,0.31974
City of St. Louis,Missouri,300576,3.00576
Clackamas County,Oregon,418187,4.18187
Claiborne County,Tennessee,31959,0.31959
Claiborne County,Mississippi,8988,0.08988
Claiborne Parish,Louisiana,15670,0.1567
Clallam County,Washington,77331,0.77331
Clare County,Michigan,30950,0.3095
Clarendon County,South Carolina,33745,0.33745
Clarion County,Pennsylvania,38438,0.38438
Clark County,Arkansas,22320,0.2232
Clark County,Idaho,845,0.00845
Clark County,Illinois,15441,0.15441
Clark County,Indiana,118302,1.18302
Clark County,Kansas,1994,0.01994
Clark County,Kentucky,36263,0.36263
Clark County,Missouri,6797,0.06797
Clark County,Nevada,2266715,22.66715
Clark County,Ohio,134083,1.34083
Clark County,South Dakota,3736,0.03736
Clark County,Washington,488241,4.88241
Clark County,Wisconsin,34774,0.34774
Clarke County,Alabama,23622,0.23622
Clarke County,Georgia,128331,1.28331
Clarke County,Iowa,9395,0.09395
Clarke County,Mississippi,15541,0.15541
Clarke County,Virginia,14619,0.14619
Clatsop County,Oregon,40224,0.40224
Clay County,Alabama,13235,0.13235
Clay County,Arkansas,14551,0.14551
Clay County,Florida,219252,2.19252
Clay County,Georgia,2834,0.02834
Clay County,Nebraska,6203,0.06203
Clay County,Iowa,16016,0.16016
Clay County,Illinois,13184,0.13184
Clay County,Indiana,26225,0.26225
Clay County,Kansas,8002,0.08002
Clay County,Kentucky,19901,0.19901
Clay County,Minnesota,64222,0.64222
Clay County,Missouri,249948,2.49948
Clay County,Mississippi,19316,0.19316
Clay County,North Carolina,11231,0.11231
Clay County,South Dakota,14070,0.1407
Clay County,Tennessee,7615,0.07615
Clay County,Texas,10471,0.10471
Clay County,West Virginia,8508,0.08508
Clayton County,Georgia,292256,2.92256
Clayton County,Iowa,17549,0.17549
Clear Creek County,Colorado,9700,0.097
Clearfield County,Pennsylvania,79255,0.79255
Clearwater County,Idaho,8756,0.08756
Clearwater County,Minnesota,8818,0.08818
Cleburne County,Arkansas,24919,0.24919
Cleburne County,Alabama,14910,0.1491
Clermont County,Ohio,206428,2.06428
Cleveland County,North Carolina,97947,0.97947
Cleveland County,Oklahoma,284014,2.84014
Cleveland County,Arkansas,7956,0.07956
Clinch County,Georgia,6618,0.06618
Clinton County,Iowa,46429,0.46429
Clinton County,Illinois,37562,0.37562
Clinton County,Indiana,32399,0.32399
Clinton County,Kentucky,10218,0.10218
Clinton County,Michigan,79595,0.79595
Clinton County,Missouri,20387,0.20387
Clinton County,New York,80485,0.80485
Clinton County,Ohio,41968,0.41968
Clinton County,Pennsylvania,38632,0.38632
Cloud County,Kansas,8786,0.08786
Coahoma County,Mississippi,22124,0.22124
Coal County,Oklahoma,5495,0.05495
Cobb County,Georgia,760141,7.60141
Cochise County,Arizona,125922,1.25922
Cochran County,Texas,2853,0.02853
Cocke County,Tennessee,36004,0.36004
Coconino County,Arizona,143476,1.43476
Codington County,South Dakota,28009,0.28009
Coffee County,Alabama,52342,0.52342
Coffee County,Georgia,43273,0.43273
Coffee County,Tennessee,56520,0.5652
Coffey County,Kansas,8179,0.08179
Coke County,Texas,3387,0.03387
Colbert County,Alabama,55241,0.55241
Cole County,Missouri,76745,0.76745
Coleman County,Texas,8175,0.08175
Coles County,Illinois,50621,0.50621
Colfax County,Nebraska,10709,0.10709
Colfax County,New Mexico,11941,0.11941
Colleton County,South Carolina,37677,0.37677
Collier County,Florida,384902,3.84902
Collin County,Texas,1034730,10.3473
Collingsworth County,Texas,2920,0.0292
Colonial Heights city,Virginia,17370,0.1737
Colorado County,Texas,21493,0.21493
Colquitt County,Georgia,45600,0.456
Columbia County,Wisconsin,57532,0.57532
Columbia County,Washington,3985,0.03985
Columbia County,Arkansas,23457,0.23457
Columbia County,Florida,71686,0.71686
Columbia County,Georgia,156714,1.56714
Columbia County,New York,59461,0.59461
Columbia County,Oregon,52354,0.52354
Columbia County,Pennsylvania,64964,0.64964
Columbiana County,Ohio,101883,1.01883
Columbus County,North Carolina,55508,0.55508
Colusa County,California,21547,0.21547
Comal County,Texas,156209,1.56209
Comanche County,Kansas,1700,0.017
Comanche County,Oklahoma,120749,1.20749
Comanche County,Texas,13635,0.13635
Concho County,Texas,2726,0.02726
Concordia Parish,Louisiana,19259,0.19259
Conecuh County,Alabama,12067,0.12067
Conejos County,Colorado,8205,0.08205
Contra Costa County,California,1153526,11.53526
Converse County,Wyoming,13822,0.13822
Conway County,Arkansas,20846,0.20846
Cook County,Illinois,5150233,51.50233
Cook County,Georgia,17270,0.1727
Cook County,Minnesota,5463,0.05463
Cooke County,Texas,41257,0.41257
