CTYNAME,STNAME,POPESTIMATE2019,Per 100000 People
Jewell County,Kansas,2879,0.02879
Jim Hogg County,Texas,5200,0.052
Jim Wells County,Texas,40482,0.40482
Jo Daviess County,Illinois,21235,0.21235
Johnson County,Arkansas,26578,0.26578
Johnson County,Georgia,9643,0.09643
Johnson County,Wyoming,8445,0.08445
Johnson County,Iowa,151140,1.5114
Johnson County,Illinois,12417,0.12417
Johnson County,Indiana,158167,1.58167
Johnson County,Kansas,602401,6.02401
Johnson County,Kentucky,22188,0.22188
Johnson County,Missouri,54062,0.54062
Johnson County,Nebraska,5071,0.05071
Johnson County,Tennessee,17788,0.17788
Johnson County,Texas,175817,1.75817
Johnston County,Oklahoma,11085,0.11085
Johnston County,North Carolina,209339,2.09339
Jones County,Iowa,20681,0.20681
Jones County,Mississippi,68098,0.68098
Jones County,North Carolina,9419,0.09419
Jones County,South Dakota,903,0.00903
Jones County,Texas,20083,0.20083
Jones County,Georgia,28735,0.28735
Josephine County,Oregon,87487,0.87487
Juab County,Utah,12017,0.12017
Judith Basin County,Montana,2007,0.02007
Juneau County,Wisconsin,26687,0.26687
Juniata County,Pennsylvania,24763,0.24763
Kalamazoo County,Michigan,265066,2.65066
Kalawao County,Hawaii,86,0.00086
Kalkaska County,Michigan,18038,0.18038
Kanabec County,Minnesota,16337,0.16337
Kanawha County,West Virginia,178124,1.78124
Kandiyohi County,Minnesota,43199,0.43199
Kane County,Illinois,532403,5.32403
Kane County,Utah,7886,0.07886
Kankakee County,Illinois,109862,1.09862
Karnes County,Texas,15601,0.15601
Kauai County,Hawaii,72293,0.72293
Kaufman County,Texas,136154,1.36154
Kay County,Oklahoma,43538,0.43538
Kearney County,Nebraska,6495,0.06495
Kearny County,Kansas,3838,0.03838
Keith County,Nebraska,8034,0.08034
Kemper County,Mississippi,9742,0.09742
Kenai Peninsula Borough,Alaska,58708,0.58708
Kendall County,Illinois,128990,1.2899
Kendall County,Texas,47431,0.47431
Kenedy County,Texas,404,0.00404
Kennebec County,Maine,122302,1.22302
Kenosha County,Wisconsin,169561,1.69561
Kent County,Delaware,180786,1.80786
Kent County,Maryland,19422,0.19422
Kent County,Michigan,656955,6.56955
Kent County,Rhode Island,164292,1.64292
Kent County,Texas,762,0.00762
Kenton County,Kentucky,166998,1.66998
Keokuk County,Iowa,10246,0.10246
Kern County,California,900202,9.00202
Kerr County,Texas,52600,0.526
Kershaw County,South Carolina,66551,0.66551
Ketchikan Gateway Borough,Alaska,13901,0.13901
Kewaunee County,Wisconsin,20434,0.20434
Keweenaw County,Michigan,2116,0.02116
Keya Paha County,Nebraska,806,0.00806
Kidder County,North Dakota,2480,0.0248
Kimball County,Nebraska,3632,0.03632
Kimble County,Texas,4337,0.04337
King and Queen County,Virginia,7025,0.07025
King County,Washington,2252782,22.52782
King County,Texas,272,0.00272
King George County,Virginia,26836,0.26836
King William County,Virginia,17148,0.17148
Kingfisher County,Oklahoma,15765,0.15765
Kingman County,Kansas,7152,0.07152
Kings County,California,152940,1.5294
Kings County,New York,2559903,25.59903
Kingsbury County,South Dakota,4939,0.04939
Kinney County,Texas,3667,0.03667
Kiowa County,Colorado,1406,0.01406
Kiowa County,Kansas,2475,0.02475
Kiowa County,Oklahoma,8708,0.08708
Kit Carson County,Colorado,7097,0.07097
Kitsap County,Washington,271473,2.71473
Kittitas County,Washington,47935,0.47935
Kittson County,Minnesota,4298,0.04298
Klamath County,Oregon,68238,0.68238
Kleberg County,Texas,30680,0.3068
Klickitat County,Washington,22425,0.22425
Knott County,Kentucky,14806,0.14806
Knox County,Illinois,49699,0.49699
Knox County,Indiana,36594,0.36594
Knox County,Kentucky,31145,0.31145
Knox County,Maine,39772,0.39772
Knox County,Missouri,3959,0.03959
Knox County,Nebraska,8332,0.08332
Knox County,Ohio,62322,0.62322
Knox County,Tennessee,470313,4.70313
Knox County,Texas,3664,0.03664
Kodiak Island Borough,Alaska,12998,0.12998
Koochiching County,Minnesota,12229,0.12229
Kootenai County,Idaho,165697,1.65697
Kosciusko County,Indiana,79456,0.79456
Kossuth County,Iowa,14813,0.14813
Kusilvak Census Area,Alaska,8314,0.08314
La Crosse County,Wisconsin,118016,1.18016
La Paz County,Arizona,21108,0.21108
La Plata County,Colorado,56221,0.56221
La Salle County,Texas,7520,0.0752
Labette County,Kansas,19618,0.19618
Lac qui Parle County,Minnesota,6623,0.06623
Lackawanna County,Pennsylvania,209674,2.09674
Laclede County,Missouri,35723,0.35723
Lafayette County,Wisconsin,16665,0.16665
Lafayette County,Mississippi,54019,0.54019
Lafayette County,Missouri,32708,0.32708
Lafayette County,Arkansas,6624,0.06624
Lafayette County,Florida,8422,0.08422
Lafayette Parish,Louisiana,244390,2.4439
Lafourche Parish,Louisiana,97614,0.97614
LaGrange County,Indiana,39614,0.39614
Lake and Peninsula Borough,Alaska,1592,0.01592
Lake County,California,64386,0.64386
Lake County,Colorado,8127,0.08127
Lake County,Florida,367118,3.67118
Lake County,Illinois,696535,6.96535
Lake County,Indiana,485493,4.85493
Lake County,Michigan,11853,0.11853
Lake County,Minnesota,10641,0.10641
Lake County,Montana,30458,0.30458
Lake County,Ohio,230149,2.30149
Lake County,Oregon,7869,0.07869
Lake County,South Dakota,12797,0.12797
Lake County,Tennessee,7016,0.07016
Lake of the Woods County,Minnesota,3740,0.0374
Lamar County,Alabama,13805,0.13805
Lamar County,Georgia,19077,0.19077
Lamar County,Mississippi,63343,0.63343
Lamar County,Texas,49859,0.49859
Lamb County,Texas,12893,0.12893
Lamoille County,Vermont,25362,0.25362
LaMoure County,North Dakota,4046,0.04046
Lampasas County,Texas,21428,0.21428
Lancaster County,Pennsylvania,545724,5.45724
Lancaster County,South Carolina,98012,0.98012
Lancaster County,Virginia,10603,0.10603
Lancaster County,Nebraska,319090,3.1909
Lander County,Nevada,5532,0.05532
Lane County,Kansas,1535,0.01535
Lane County,Oregon,382067,3.82067
Langlade County,Wisconsin,19189,0.19189
Lanier County,Georgia,10423,0.10423
Lapeer County,Michigan,87607,0.87607
LaPorte County,Indiana,109888,1.09888
Laramie County,Wyoming,99500,0.995
Larimer County,Colorado,356899,3.56899
Larue County,Kentucky,14398,0.14398
Las Animas County,Colorado,14506,0.14506
LaSalle County,Illinois,108669,1.08669
LaSalle Parish,Louisiana,14892,0.14892
Lassen County,California,30573,0.30573
Latah County,Idaho,40108,0.40108
Latimer County,Oklahoma,10073,0.10073
Lauderdale County,Tennessee,25633,0.25633
Lauderdale County,Mississippi,74125,0.74125
Lauderdale County,Alabama,92729,0.92729
Laurel County,Kentucky,60813,0.60813
Laurens County,Georgia,47546,0.47546
Laurens County,South Carolina,67493,0.67493
Lavaca County,Texas,20154,0.20154
Lawrence County,Alabama,32924,0.32924
Lawrence County,Arkansas,16406,0.16406
Lawrence County,Illinois,15678,0.15678
Lawrence County,Indiana,45370,0.4537
Lawrence County,Kentucky,15317,0.15317
Lawrence County,Missouri,38355,0.38355
Lawrence County,Mississippi,12586,0.12586
Lawrence County,Ohio,59463,0.59463
Lawrence County,Pennsylvania,85512,0.85512
Lawrence County,South Dakota,25844,0.25844
Lawrence County,Tennessee,44142,0.44142
Le Flore County,Oklahoma,49853,0.49853
Le Sueur County,Minnesota,28887,0.28887
Lea County,New Mexico,71070,0.7107
Leake County,Mississippi,22786,0.22786
Leavenworth County,Kansas,81758,0.81758
Lebanon County,Pennsylvania,141793,1.41793
Lee County,Florida,770577,7.70577
Lee County,Alabama,164542,1.64542
Lee County,Arkansas,8857,0.08857
Lee County,Georgia,29992,0.29992
Lee County,Iowa,33657,0.33657
Lee County,Illinois,34096,0.34096
Lee County,Kentucky,7403,0.07403
Lee County,Mississippi,85436,0.85436
Lee County,North Carolina,61779,0.61779
Lee County,South Carolina,16828,0.16828
Lee County,Texas,17239,0.17239
Lee County,Virginia,23423,0.23423
Leelanau County,Michigan,21761,0.21761
Leflore County,Mississippi,28183,0.28183
Lehigh County,Pennsylvania,369318,3.69318
Lemhi County,Idaho,8027,0.08027
Lenawee County,Michigan,98451,0.98451
Lenoir County,North Carolina,55949,0.55949
Leon County,Florida,293582,2.93582
Leon County,Texas,17404,0.17404
Leslie County,Kentucky,9877,0.09877
Letcher County,Kentucky,21553,0.21553
Levy County,Florida,41503,0.41503
Lewis and Clark County,Montana,69432,0.69432
Lewis County,Tennessee,12268,0.12268
Lewis County,Washington,80707,0.80707
Lewis County,West Virginia,15907,0.15907
Lewis County,New York,26296,0.26296
Lewis County,Missouri,9776,0.09776
Lewis County,Kentucky,13275,0.13275
Lewis County,Idaho,3838,0.03838
Lexington city,Virginia,7446,0.07446
Lexington County,South Carolina,298750,2.9875
Liberty County,Florida,8354,0.08354
Liberty County,Georgia,61435,0.61435
Liberty County,Montana,2337,0.02337
Liberty County,Texas,88219,0.88219
Licking County,Ohio,176862,1.76862
Limestone County,Alabama,98915,0.98915
Limestone County,Texas,23437,0.23437
Lincoln County,Wisconsin,27593,0.27593
Lincoln County,North Carolina,86111,0.86111
Lincoln County,Nebraska,34914,0.34914
Lincoln County,New Mexico,19572,0.19572
Lincoln County,Nevada,5183,0.05183
Lincoln County,Oklahoma,34877,0.34877
Lincoln County,Oregon,49962,0.49962
Lincoln County,South Dakota,61128,0.61128
Lincoln County,Tennessee,34366,0.34366
Lincoln County,Washington,10939,0.10939
Lincoln County,West Virginia,20409,0.20409
Lincoln County,Wyoming,19830,0.1983
Lincoln County,Mississippi,34153,0.34153
Lincoln County,Montana,19980,0.1998
Lincoln County,Missouri,59013,0.59013
Lincoln County,Minnesota,5639,0.05639
Lincoln County,Arkansas,13024,0.13024
Lincoln County,Colorado,5701,0.05701
Lincoln County,Georgia,7921,0.07921
Lincoln County,Idaho,5366,0.05366
Lincoln County,Kansas,2962,0.02962
Lincoln County,Kentucky,24549,0.24549
Lincoln County,Maine,34634,0.34634
Lincoln Parish,Louisiana,46742,0.46742
Linn County,Iowa,226706,2.26706
Linn County,Kansas,9703,0.09703
Linn County,Missouri,11920,0.1192
Linn County,Oregon,129749,1.29749
Lipscomb County,Texas,3233,0.03233
Litchfield County,Connecticut,180333,1.80333
Little River County,Arkansas,12259,0.12259
Live Oak County,Texas,12207,0.12207
Livingston County,Missouri,15227,0.15227
Livingston County,New York,62914,0.62914
Livingston County,Michigan,191995,1.91995
Livingston County,Kentucky,9194,0.09194
Livingston County,Illinois,35648,0.35648
Livingston Parish,Louisiana,140789,1.40789
Llano County,Texas,21795,0.21795
Logan County,Arkansas,21466,0.21466
Logan County,Colorado,22409,0.22409
Logan County,Illinois,28618,0.28618
Logan County,Kansas,2794,0.02794
Logan County,Kentucky,27102,0.27102
Logan County,North Dakota,1850,0.0185
Logan County,Nebraska,748,0.00748
Logan County,Ohio,45672,0.45672
Logan County,Oklahoma,48011,0.48011
Logan County,West Virginia,32019,0.32019
Long County,Georgia,19559,0.19559
Lonoke County,Arkansas,73309,0.73309
Lorain County,Ohio,309833,3.09833
Los Alamos County,New Mexico,19369,0.19369
Los Angeles County,California,10039107,100.39107
Loudon County,Tennessee,54068,0.54068
Loudoun County,Virginia,413538,4.13538
Louisa County,Iowa,11035,0.11035
Louisa County,Virginia,37591,0.37591
Loup County,Nebraska,664,0.00664
Love County,Oklahoma,10253,0.10253
Loving County,Texas,169,0.00169
Lowndes County,Alabama,9726,0.09726
Lowndes County,Georgia,117406,1.17406
Lowndes County,Mississippi,58595,0.58595
Lubbock County,Texas,310569,3.10569
Lucas County,Iowa,8600,0.086
Lucas County,Ohio,428348,4.28348
Luce County,Michigan,6229,0.06229
Lumpkin County,Georgia,33610,0.3361
Luna County,New Mexico,23709,0.23709
Lunenburg County,Virginia,12196,0.12196
Luzerne County,Pennsylvania,317417,3.17417
Lycoming County,Pennsylvania,113299,1.13299
Lyman County,South Dakota,3781,0.03781
Lynchburg city,Virginia,82168,0.82168
Lynn County,Texas,5951,0.05951
Lyon County,Iowa,11755,0.11755
Lyon County,Kansas,33195,0.33195
Lyon County,Kentucky,8210,0.0821
Lyon County,Minnesota,25474,0.25474
Lyon County,Nevada,57510,0.5751
Mackinac County,Michigan,10799,0.10799
Macomb County,Michigan,873972,8.73972
Macon County,Missouri,15117,0.15117
Macon County,North Carolina,35858,0.35858
Macon County,Tennessee,24602,0.24602
Macon County,Illinois,104009,1.04009
Macon County,Georgia,12947,0.12947
Macon County,Alabama,18068,0.18068
Macoupin County,Illinois,44926,0.44926
Madera County,California,157327,1.57327
Madison County,Alabama,372909,3.72909
Madison County,Arkansas,16576,0.16576
Madison County,Florida,18493,0.18493
Madison County,Georgia,29880,0.2988
Madison County,Iowa,16338,0.16338
Madison County,Idaho,39907,0.39907
Madison County,Illinois,262966,2.62966
Madison County,Indiana,129569,1.29569
Madison County,Kentucky,92987,0.92987
Madison County,Missouri,12088,0.12088
Madison County,Mississippi,106272,1.06272
Madison County,Montana,8600,0.086
Madison County,North Carolina,21755,0.21755
Madison County,Nebraska,35099,0.35099
Madison County,New York,70941,0.70941
Madison County,Tennessee,97984,0.97984
Madison County,Ohio,44731,0.44731
Madison County,Texas,14284,0.14284
Madison County,Virginia,13261,0.13261
Madison Parish,Louisiana,10951,0.10951
Magoffin County,Kentucky,12161,0.12161
Mahaska County,Iowa,22095,0.22095
Mahnomen County,Minnesota,5527,0.05527
Mahoning County,Ohio,228683,2.28683
Major County,Oklahoma,7629,0.07629
Malheur County,Oregon,30571,0.30571
Manassas city,Virginia,41085,0.41085
Manassas Park city,Virginia,17478,0.17478
Manatee County,Florida,403253,4.03253
Manistee County,Michigan,24558,0.24558
Manitowoc County,Wisconsin,78981,0.78981
Marathon County,Wisconsin,135692,1.35692
Marengo County,Alabama,18863,0.18863
Maricopa County,Arizona,4485414,44.85414
Maries County,Missouri,8697,0.08697
Marin County,California,258826,2.58826
Marinette County,Wisconsin,40350,0.4035
Marion County,Kentucky,19273,0.19273
Marion County,Missouri,28530,0.2853
Marion County,Mississippi,24573,0.24573
Marion County,Ohio,65093,0.65093
Marion County,Oregon,347818,3.47818
Marion County,South Carolina,30657,0.30657
Marion County,Tennessee,28907,0.28907
Marion County,Texas,9854,0.09854
Marion County,West Virginia,56072,0.56072
Marion County,Kansas,11884,0.11884
Marion County,Indiana,964582,9.64582
Marion County,Illinois,37205,0.37205
Marion County,Iowa,33253,0.33253
Marion County,Alabama,29709,0.29709
Marion County,Arkansas,16694,0.16694
Marion County,Florida,365579,3.65579
Marion County,Georgia,8359,0.08359
Mariposa County,California,17203,0.17203
Marlboro County,South Carolina,26118,0.26118
Marquette County,Michigan,66699,0.66699
Marquette County,Wisconsin,15574,0.15574
Marshall County,South Dakota,4935,0.04935
Marshall County,Alabama,96774,0.96774
Marshall County,Iowa,39369,0.39369
Marshall County,Illinois,11438,0.11438
Marshall County,Indiana,46258,0.46258
Marshall County,Kansas,9707,0.09707
Marshall County,Kentucky,31100,0.311
Marshall County,Minnesota,9336,0.09336
Marshall County,Mississippi,35294,0.35294
Marshall County,Oklahoma,16931,0.16931
Marshall County,Tennessee,34375,0.34375
Marshall County,West Virginia,30531,0.30531
Martin County,Florida,161000,1.61
Martin County,Indiana,10255,0.10255
Martin County,Kentucky,11195,0.11195
Martin County,Minnesota,19683,0.19683
Martin County,North Carolina,22440,0.2244
Martin County,Texas,5771,0.05771
Martinsville city,Virginia,12554,0.12554
Mason County,Michigan,29144,0.29144
Mason County,Illinois,13359,0.13359
Mason County,Kentucky,17070,0.1707
Mason County,Texas,4274,0.04274
Mason County,Washington,66768,0.66768
Mason County,West Virginia,26516,0.26516
Massac County,Illinois,13772,0.13772
Matagorda County,Texas,36643,0.36643
Matanuska-Susitna Borough,Alaska,108317,1.08317
Mathews County,Virginia,8834,0.08834
Maui County,Hawaii,167417,1.67417
Maury County,Tennessee,96387,0.96387
Maverick County,Texas,58722,0.58722
Mayes County,Oklahoma,41100,0.411
McClain County,Oklahoma,40474,0.40474
McCone County,Montana,1664,0.01664
McCook County,South Dakota,5586,0.05586
McCormick County,South Carolina,9463,0.09463
McCracken County,Kentucky,65418,0.65418
McCreary County,Kentucky,17231,0.17231
McCulloch County,Texas,7984,0.07984
McCurtain County,Oklahoma,32832,0.32832
McDonald County,Missouri,22837,0.22837
McDonough County,Illinois,29682,0.29682
McDowell County,North Carolina,45756,0.45756
McDowell County,West Virginia,17624,0.17624
McDuffie County,Georgia,21312,0.21312
McHenry County,Illinois,307774,3.07774
McHenry County,North Dakota,5745,0.05745
McIntosh County,Georgia,14378,0.14378
McIntosh County,North Dakota,2497,0.02497
McIntosh County,Oklahoma,19596,0.19596
McKean County,Pennsylvania,40625,0.40625
McKenzie County,North Dakota,15024,0.15024
McKinley County,New Mexico,71367,0.71367
McLean County,Illinois,171517,1.71517
McLean County,Kentucky,9207,0.09207
McLean County,North Dakota,9450,0.0945
McLennan County,Texas,256623,2.56623
McLeod County,Minnesota,35893,0.35893
McMinn County,Tennessee,53794,0.53794
McMullen County,Texas,743,0.00743
McNairy County,Tennessee,25694,0.25694
McPherson County,Kansas,28542,0.28542
McPherson County,Nebraska,494,0.00494
McPherson County,South Dakota,2379,0.02379
Meade County,Kansas,4033,0.04033
Meade County,Kentucky,28572,0.28572
Meade County,South Dakota,28332,0.28332
Meagher County,Montana,1862,0.01862
Mecklenburg County,Virginia,30587,0.30587
Mecklenburg County,North Carolina,1110356,11.10356
Mecosta County,Michigan,43453,0.43453
Medina County,Ohio,179746,1.79746
Medina County,Texas,51584,0.51584
Meeker County,Minnesota,23222,0.23222
Meigs County,Ohio,22907,0.22907
Meigs County,Tennessee,12422,0.12422
Mellette County,South Dakota,2061,0.02061
Menard County,Illinois,12196,0.12196
Menard County,Texas,2138,0.02138
Mendocino County,California,86749,0.86749
Menifee County,Kentucky,6489,0.06489
Menominee County,Wisconsin,4556,0.04556
Menominee County,Michigan,22780,0.2278
Merced County,California,277680,2.7768
Mercer County,Illinois,15437,0.15437
Mercer County,Kentucky,21933,0.21933
Mercer County,Missouri,3617,0.03617
Mercer County,North Dakota,8187,0.08187
Mercer County,New Jersey,367430,3.6743
Mercer County,Ohio,41172,0.41172
Mercer County,Pennsylvania,109424,1.09424
Mercer County,West Virginia,58758,0.58758
Meriwether County,Georgia,21167,0.21167
Merrick County,Nebraska,7755,0.07755
Merrimack County,New Hampshire,151391,1.51391
Mesa County,Colorado,154210,1.5421
Metcalfe County,Kentucky,10071,0.10071
Miami County,Indiana,35516,0.35516
Miami County,Kansas,34237,0.34237
Miami County,Ohio,106987,1.06987
Miami-Dade County,Florida,2716940,27.1694
Middlesex County,Connecticut,162436,1.62436
Middlesex County,Massachusetts,1611699,16.11699
Middlesex County,New Jersey,825062,8.25062
Middlesex County,Virginia,10582,0.10582
Midland County,Texas,176832,1.76832
Midland County,Michigan,83156,0.83156
Mifflin County,Pennsylvania,46138,0.46138
Milam County,Texas,24823,0.24823
Millard County,Utah,13188,0.13188
Mille Lacs County,Minnesota,26277,0.26277
Miller County,Arkansas,43257,0.43257
Miller County,Georgia,5718,0.05718
Miller County,Missouri,25619,0.25619
Mills County,Iowa,15109,0.15109
Mills County,Texas,4873,0.04873
Milwaukee County,Wisconsin,945726,9.45726
Miner County,South Dakota,2216,0.02216
Mineral County,Colorado,769,0.00769
Mineral County,Montana,4397,0.04397
Mineral County,Nevada,4505,0.04505
Mineral County,West Virginia,26868,0.26868
Mingo County,West Virginia,23424,0.23424
Minidoka County,Idaho,21039,0.21039
Minnehaha County,South Dakota,193134,1.93134
Missaukee County,Michigan,15118,0.15118
Mississippi County,Arkansas,40651,0.40651
Mississippi County,Missouri,13180,0.1318
Missoula County,Montana,119600,1.196
Mitchell County,Texas,8545,0.08545
Mitchell County,North Carolina,14964,0.14964
Mitchell County,Kansas,5979,0.05979
Mitchell County,Iowa,10586,0.10586
Mitchell County,Georgia,21863,0.21863
Mobile County,Alabama,413210,4.1321
Modoc County,California,8841,0.08841
Moffat County,Colorado,13283,0.13283
Mohave County,Arizona,212181,2.12181
Moniteau County,Missouri,16132,0.16132
Monmouth County,New Jersey,618795,6.18795
Mono County,California,14444,0.14444
Monona County,Iowa,8615,0.08615
Monongalia County,West Virginia,105612,1.05612
Monroe County,Wisconsin,46253,0.46253
Monroe County,West Virginia,13275,0.13275
Monroe County,Pennsylvania,170271,1.70271
Monroe County,Tennessee,46545,0.46545
Monroe County,New York,741770,7.4177
Monroe County,Ohio,13654,0.13654
Monroe County,Alabama,20733,0.20733
Monroe County,Arkansas,6701,0.06701
Monroe County,Florida,74228,0.74228
Monroe County,Georgia,27578,0.27578
Monroe County,Iowa,7707,0.07707
Monroe County,Illinois,34637,0.34637
Monroe County,Indiana,148431,1.48431
Monroe County,Kentucky,10650,0.1065
Monroe County,Michigan,150500,1.505
Monroe County,Missouri,8644,0.08644
Monroe County,Mississippi,35252,0.35252
Montague County,Texas,19818,0.19818
Montcalm County,Michigan,63888,0.63888
Monterey County,California,434061,4.34061
Montezuma County,Colorado,26183,0.26183
Montgomery County,Virginia,98535,0.98535
Montgomery County,Texas,607391,6.07391
Montgomery County,Tennessee,208993,2.08993
Montgomery County,Alabama,226486,2.26486
Montgomery County,Arkansas,8986,0.08986
Montgomery County,Georgia,9172,0.09172
Montgomery County,Iowa,9917,0.09917
Montgomery County,Illinois,28414,0.28414
Montgomery County,Indiana,38338,0.38338
Montgomery County,Kansas,31829,0.31829
Montgomery County,Kentucky,28157,0.28157
Montgomery County,Maryland,1050688,10.50688
Montgomery County,Missouri,11551,0.11551
Montgomery County,Mississippi,9775,0.09775
Montgomery County,North Carolina,27173,0.27173
Montgomery County,New York,49221,0.49221
Montgomery County,Ohio,531687,5.31687
Montgomery County,Pennsylvania,830915,8.30915
Montmorency County,Michigan,9328,0.09328
Montour County,Pennsylvania,18230,0.1823
Montrose County,Colorado,42758,0.42758
Moody County,South Dakota,6576,0.06576
Moore County,North Carolina,100880,1.0088
Moore County,Tennessee,6488,0.06488
Moore County,Texas,20940,0.2094
Mora County,New Mexico,4521,0.04521
Morehouse Parish,Louisiana,24874,0.24874
Morgan County,Alabama,119679,1.19679
Morgan County,Colorado,29068,0.29068
Morgan County,Georgia,19276,0.19276
Morgan County,Illinois,33658,0.33658
Morgan County,Indiana,70489,0.70489
Morgan County,Kentucky,13309,0.13309
Morgan County,Missouri,20627,0.20627
Morgan County,Ohio,14508,0.14508
Morgan County,Tennessee,21403,0.21403
Morgan County,Utah,12124,0.12124
Morgan County,West Virginia,17884,0.17884
Morrill County,Nebraska,4642,0.04642
Morris County,Kansas,5620,0.0562
Morris County,New Jersey,491845,4.91845
Morris County,Texas,12388,0.12388
Morrison County,Minnesota,33386,0.33386
Morrow County,Ohio,35328,0.35328
Morrow County,Oregon,11603,0.11603
Morton County,Kansas,2587,0.02587
Morton County,North Dakota,31364,0.31364
Motley County,Texas,1200,0.012
Moultrie County,Illinois,14501,0.14501
Mountrail County,North Dakota,10545,0.10545
Mower County,Minnesota,40062,0.40062
Muhlenberg County,Kentucky,30622,0.30622
Multnomah County,Oregon,812855,8.12855
Municipality of Anchorage,,288000,2.88
Murray County,Georgia,40096,0.40096
Murray County,Minnesota,8194,0.08194
Murray County,Oklahoma,14073,0.14073
Muscatine County,Iowa,42664,0.42664
Muscogee County,Georgia,195769,1.95769
Muskegon County,Michigan,173566,1.73566
Muskingum County,Ohio,86215,0.86215
Muskogee County,Oklahoma,67997,0.67997
Musselshell County,Montana,4633,0.04633
Nacogdoches County,Texas,65204,0.65204
Nance County,Nebraska,3519,0.03519
Nantucket County,Massachusetts,11399,0.11399
Napa County,California,137744,1.37744
Nash County,North Carolina,94298,0.94298
Nassau County,New York,1356924,13.56924
Nassau County,Florida,88625,0.88625
Natchitoches Parish,Louisiana,38158,0.38158
Natrona County,Wyoming,79858,0.79858
Navajo County,Arizona,110924,1.10924
Navarro County,Texas,50113,0.50113
Nelson County,Kentucky,46233,0.46233
Nelson County,North Dakota,2879,0.02879
Nelson County,Virginia,14930,0.1493
Nemaha County,Kansas,10231,0.10231
Nemaha County,Nebraska,6972,0.06972
Neosho County,Kansas,16007,0.16007
Neshoba County,Mississippi,29118,0.29118
Ness County,Kansas,2750,0.0275
Nevada County,Arkansas,8252,0.08252
Nevada County,California,99755,0.99755
New Castle County,Delaware,558753,5.58753
New Hanover County,North Carolina,234473,2.34473
New Haven County,Connecticut,854757,8.54757
New Kent County,Virginia,23091,0.23091
New London County,Connecticut,265206,2.65206
New Madrid County,Missouri,17076,0.17076
New York County,New York,1628706,16.28706
Newaygo County,Michigan,48980,0.4898
Newberry County,South Carolina,38440,0.3844
Newport County,Rhode Island,82082,0.82082
Newport News city,Virginia,179225,1.79225
Newton County,Arkansas,7753,0.07753
Newton County,Georgia,111744,1.11744
Newton County,Indiana,13984,0.13984
Newton County,Missouri,58236,0.58236
Newton County,Mississippi,21018,0.21018
Newton County,Texas,13595,0.13595
Nez Perce County,Idaho,40408,0.40408
Niagara County,New York,209281,2.09281
Nicholas County,Kentucky,7269,0.07269
Nicholas County,West Virginia,24496,0.24496
Nicollet County,Minnesota,34274,0.34274
Niobrara County,Wyoming,2356,0.02356
Noble County,Indiana,47744,0.47744
Noble County,Ohio,14424,0.14424
Noble County,Oklahoma,11131,0.11131
Nobles County,Minnesota,21629,0.21629
Nodaway County,Missouri,22092,0.22092
Nolan County,Texas,14714,0.14714
Nome Census Area,Alaska,10004,0.10004
Norfolk city,Virginia,242742,2.42742
Norfolk County,Massachusetts,706775,7.06775
Norman County,Minnesota,6375,0.06375
North Slope Borough,Alaska,9832,0.09832
Northampton County,Virginia,11710,0.1171
Northampton County,North Carolina,19483,0.19483
Northampton County,Pennsylvania,305285,3.05285
Northumberland County,Pennsylvania,90843,0.90843
Northumberland County,Virginia,12095,0.12095
Northwest Arctic Borough,Alaska,7621,0.07621
Norton city,Virginia,3981,0.03981
Norton County,Kansas,5361,0.05361
Nottoway County,Virginia,15232,0.15232
Nowata County,Oklahoma,10076,0.10076
Noxubee County,Mississippi,10417,0.10417
Nuckolls County,Nebraska,4148,0.04148
Nueces County,Texas,362294,3.62294
Nye County,Nevada,46523,0.46523
O'Brien County,Iowa,13753,0.13753
Oakland County,Michigan,1257584,12.57584
Obion County,Tennessee,30069,0.30069
Ocean County,New Jersey,607186,6.07186
Oceana County,Michigan,26467,0.26467
Ochiltree County,Texas,9836,0.09836
Oconee County,Georgia,40280,0.4028
Oconee County,South Carolina,79546,0.79546
Oconto County,Wisconsin,37930,0.3793
Ogemaw County,Michigan,20997,0.20997
Oglala Lakota County,South Dakota,14177,0.14177
Ogle County,Illinois,50643,0.50643
Oglethorpe County,Georgia,15259,0.15259
Ohio County,Indiana,5875,0.05875
Ohio County,Kentucky,23994,0.23994
Ohio County,West Virginia,41411,0.41411
Okaloosa County,Florida,210738,2.10738
Okanogan County,Washington,42243,0.42243
Okeechobee County,Florida,42168,0.42168
Okfuskee County,Oklahoma,11993,0.11993
Oklahoma County,Oklahoma,797434,7.97434
Okmulgee County,Oklahoma,38465,0.38465
Oktibbeha County,Mississippi,49587,0.49587
Oldham County,Kentucky,66799,0.66799
Oldham County,Texas,2112,0.02112
Oliver County,North Dakota,1959,0.01959
Olmsted County,Minnesota,158293,1.58293
Oneida County,Wisconsin,35595,0.35595
Oneida County,Idaho,4531,0.04531
Oneida County,New York,228671,2.28671
Onondaga County,New York,460528,4.60528
Onslow County,North Carolina,197938,1.97938
Ontario County,New York,109777,1.09777
Ontonagon County,Michigan,5720,0.0572
Orange County,California,3175692,31.75692
Orange County,Florida,1393452,13.93452
Orange County,Indiana,19646,0.19646
Orange County,North Carolina,148476,1.48476
Orange County,New York,384940,3.8494
Orange County,Texas,83396,0.83396
Orange County,Virginia,37051,0.37051
Orange County,Vermont,28892,0.28892
Orangeburg County,South Carolina,86175,0.86175
